date,url,contract,current_price,average_price,number_deals,volume_MT,amount_RUB
2018-11-06,https://fs.moex.com/files/17948/29460,FSGCFO,37004.0,37004.0,1.0,60.0,2220240.0
2018-11-06,https://fs.moex.com/files/17948/29460,FSGPFO,38005.0,,0.0,0.0,0.0
2018-11-02,https://fs.moex.com/files/17935/29426,FSGPFO,38005.0,,0.0,0.0,0.0
2018-11-02,https://fs.moex.com/files/17935/29426,FSGCFO,37004.0,37092.0,4.0,360.0,13353120.0
2018-11-02,https://fs.moex.com/files/17935/29426,FSGYFO,36597.0,36997.86,2.0,140.0,5179700.0
2018-11-01,https://fs.moex.com/files/17926/29403,FSGCFO,37000.0,37077.75,3.0,400.0,14831100.0
2018-11-01,https://fs.moex.com/files/17926/29403,FSGYFO,36597.0,36597.0,1.0,100.0,3659700.0
2018-11-01,https://fs.moex.com/files/17926/29403,FSGPFO,38005.0,0.0,0.0,0.0,0.0
2018-10-31,https://fs.moex.com/files/17917/29392,FSGPFO,38005.0,0.0,0.0,0.0,0.0
2018-10-31,https://fs.moex.com/files/17917/29392,FSGCFO,38000.0,38000.0,1.0,100.0,3800000.0
2018-10-31,https://fs.moex.com/files/17917/29392,FSGYFO,36597.0,36597.0,1.0,100.0,3659700.0
2018-10-30,https://fs.moex.com/files/17912/29385,FSGPFO,38005.0,0.0,0.0,0.0,0.0
2018-10-30,https://fs.moex.com/files/17912/29385,FSGCFO,38005.0,38419.58333,3.0,240.0,9220700.0
2018-10-30,https://fs.moex.com/files/17912/29385,FSGYFO,38005.0,0.0,0.0,0.0,0.0
2018-10-29,https://fs.moex.com/files/17902/29372,FSGCFO,38000.0,0.0,0.0,0.0,0.0
2018-10-29,https://fs.moex.com/files/17902/29372,FSGYFO,38005.0,0.0,0.0,0.0,0.0
2018-10-29,https://fs.moex.com/files/17902/29372,FSGPFO,38005.0,0.0,0.0,0.0,0.0
2018-10-26,https://fs.moex.com/files/17894/29357,FSGCFO,38000.0,38001.47059,5.0,340.0,12920500.0
2018-10-26,https://fs.moex.com/files/17894/29357,FSGYFO,38005.0,38005.0,1.0,80.0,3040400.0
2018-10-26,https://fs.moex.com/files/17894/29357,FSGPFO,38005.0,38005.0,2.0,100.0,3800500.0
2018-10-25,https://fs.moex.com/files/17881/29325,FSGPFO,28105.0,0.0,0.0,0.0,0.0
2018-10-25,https://fs.moex.com/files/17881/29325,FSGYFO,36000.0,0.0,0.0,0.0,0.0
2018-10-25,https://fs.moex.com/files/17881/29325,FSGCFO,35849.0,37804.45455,3.0,220.0,8316980.0
2018-10-24,https://fs.moex.com/files/17876/29318,FSGPFO,28105.0,0.0,0.0,0.0,0.0
2018-10-24,https://fs.moex.com/files/17876/29318,FSGYFO,36000.0,36000.0,1.0,200.0,7200000.0
2018-10-24,https://fs.moex.com/files/17876/29318,FSGCFO,35100.0,35740.63,7.0,640.0,22874000.0
2018-10-23,https://fs.moex.com/files/17867/29307,FSGCFO,35050.0,35054.5974,13.0,1540.0,53984080.0
2018-10-23,https://fs.moex.com/files/17867/29307,FSGPFO,28105.0,0.0,0.0,0.0,0.0
2018-10-23,https://fs.moex.com/files/17867/29307,FSGYFO,36000.0,36000.0,1.0,200.0,7200000.0
2018-10-22,https://fs.moex.com/files/17861/29293,FSGYFO,33902.0,0.0,0.0,0.0,0.0
2018-10-22,https://fs.moex.com/files/17861/29293,FSGCFO,35000.0,35204.63,8.0,1140.0,40133280.0
2018-10-22,https://fs.moex.com/files/17861/29293,FSGPFO,28105.0,0.0,0.0,0.0,0.0
2018-10-19,https://fs.moex.com/files/17852/29266,FSGCFO,35000.0,35003.5625,4.0,640.0,22402280.0
2018-10-19,https://fs.moex.com/files/17852/29266,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-19,https://fs.moex.com/files/17852/29266,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-18,https://fs.moex.com/files/17848/29245,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-18,https://fs.moex.com/files/17848/29245,FSGCFO,36500.0,35504.869569999995,4.0,460.0,16332240.0
2018-10-18,https://fs.moex.com/files/17848/29245,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-17,https://fs.moex.com/files/17844/29240,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-17,https://fs.moex.com/files/17844/29240,FSGCFO,35500.0,35498.68,8.0,1300.0,46148280.0
2018-10-17,https://fs.moex.com/files/17844/29240,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-16,https://fs.moex.com/files/17838/29222,FSGCFO,35800.0,35541.94,9.0,1340.0,47626200.0
2018-10-16,https://fs.moex.com/files/17838/29222,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-16,https://fs.moex.com/files/17838/29222,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-15,https://fs.moex.com/files/17830/29208,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-15,https://fs.moex.com/files/17830/29208,FSGCFO,35700.0,35785.71,3.0,140.0,5010000.0
